complex,Halo_ARID4A,Halo_ARID4B,Halo_BRMS1,Halo_BRMS1L,Halo_GATAD1,HDAC1.Halo,HDAC2_Halo,Halo_ING1,Halo_ING2,MORF4L1_Halo,Halo_PHF12,Halo_RBBP4,Halo_SAP30,Halo_SAP30L,Halo_SAP130,SIN3A_Halo,SIN3B_2_Halo,Halo_SUDS3
1,63.6875,349.211039,166.8865741,110.1666667,6.75,947.6561589,1391.939919,731.665625,86.91666667,16,11.58333333,218.4114529,635.4723109,1360.137694,250.3289377,1148.402036,1711.456208,207.8833333
1,97.15518662,200.1090298,114.9909861,198.1380548,9.19047619,3980.206113,366.9959295,372.0028274,75.46035821,5.75,15.09195402,169.0362725,254.0491454,928.859496,273.6357439,887.6931687,1242.915163,131.8355554
1,11.44869151,67.19546763,11.64879366,91.58281848,47.33333333,280.8045013,135.1712599,328.3133651,45.93436525,36,188.6666667,11.02766703,27.45984975,78.64185273,55.02982378,16.03360703,7285.335128,103.7820131
1,83.59481338,90.14097016,59.25901387,127.5286118,11.14285714,484.3938865,3437.00407,260.6638392,61.13964179,6.25,16.57471264,292.9637275,157.4508546,576.890504,253.0309228,582.6401647,1481.584837,88.49777791
1,13.0625,47.53896104,51.1848545,42.33333333,3.083333333,1319.448198,1070.171287,216.6677083,38.78333333,20,2.25,1218.510775,169.6667647,577.3778462,103.6710623,684.1499109,1294.68044,43.61666667
1,287.5513085,888.0545324,624.3512063,743.0838482,0,985.1954987,397.8287401,982.3533016,625.2656347,0,0,53.63899964,990.7901502,3071.108147,1215.636843,2902.299726,53.66487235,374.2179869
1,118,251,293.25,258.3333333,0,129,66.75,300.3333333,99,0,0,4.666666667,163.25,617.75,341.6666667,369,103.5,1542.666667
1,75.25,197.75,0,466.6666667,0,165,58.25,356.3333333,137.6,0,0,7.666666667,194,673.75,315,318.3333333,23,101.3333333
1,30.5,62.5,131.9910714,38.16666667,6.75,468.1560218,0,0,68.65,16,11.58333333,56,88.36092437,341.98446,0,301.7813861,1343.763746,26.08333333
1,21,58.25,29.70833333,56.83333333,0,56.43833333,27.375,82.46153846,26.04,0,0,0.166666667,18,489.6724702,26.66666667,124.952381,6.5,18.83333333
1,3106.5,3.125,192.6729249,227.9103314,0,49.55,25,172.4084249,41.8,0,0,0.666666667,143.4175408,282.7665875,159.3333333,56.31372549,5.5,100.9661017
1,19.5,40.5,22.25,53.66666667,0,42.2,18,1310,0,0,0,0,58.5,137.25,131,51.66666667,0.75,16
1,0,2591.75,178.0770751,202.0896686,0.333333333,57.45,17.125,180.9249084,25.6,0,0,2.166666667,117.5811772,470.7164965,93.33333333,103.6862745,12.375,80.03389831
1,14.75,49.25,57.25,59.33333333,0,51.6,29.25,94,60.4,0,0,1.666666667,210.75,10.75,55.66666667,172.6666667,2.5,24.66666667
1,18,35.5,6,28.33333333,0,31.4,7,3,437.2,0,0,0.333333333,38,94,50,95.33333333,0.25,12.66666667
1,8.5,16.75,13.75,26,0,39.6,13.25,43.66666667,8.6,0,0,1.666666667,22,113.75,32.66666667,48.66666667,1.25,10.33333333
1,6,28.25,157.25,0,0,28.4,12.5,23.33333333,1.4,0,0,0,22.5,117.25,10.33333333,32,0.75,15
1,0,0,9.75,17.33333333,0,35.2,8.25,49.66666667,13.4,0,0,0,35.25,96.75,53,34.33333333,10.5,17.33333333
1,4.025,14.12083333,4.883333333,6.311111111,0,11.51333333,7.883333333,38.32777778,9.526666667,0,0,0.4,22.14166667,55.39166667,414.4055556,21.64444444,0.866666667,4.822222222
1,0,0,1.75,3.333333333,0,8.6,1.25,17.33333333,1.4,0,0,0,16,41.5,23.66666667,4.333333333,0,15.33333333
1,0,0,0,0,28.66666667,39.8,18.75,0,0,111.6666667,447.6666667,0,0,0,0,0,58.75,0
1,0,0,0,0,531.6666667,33,10,0,0,16,32,1,0,0.75,0,0,32.5,0
1,0,0,0,0,6,5.8,3.75,0,0,3595.914598,57.77768105,0.333333333,0,0,0,0,7.5,0
1,0,0,0,0,13.66666667,16.8,4.75,0,0,3,9,0,0,0,0,0,5,0
1,0,0,0,0,16,13.2,3,0,0,16.33333333,18.66666667,0,0,0,0.333333333,0,4.75,0
1,0,2.5,2.222222222,0.666666667,0,7.8,0.25,13.33333333,0,0,0,0,6.077586207,7.857142857,3.666666667,4,4.75,16.41025641
1,0,0.5,2.027777778,1,0,3,0.25,7.666666667,0,0,0,0,3.422413793,3.892857143,2.333333333,0.333333333,0.25,13.25641026
1,0,0,0,0,0,0,0,0,0,7.085402062,27.22231895,0,0,0,0,0,0,0
0,4,4.75,2.5,3,13.33333333,1.2,2,3.333333333,5.4,12.33333333,24.33333333,29,0.75,6.5,5.333333333,21.66666667,3.25,1.333333333
0,8.7375,18.54583333,91.8625,14.58333333,25.76666667,191.3947619,10.9375,20.71666667,23.17,22.35555556,35.15,19.44444444,10.225,149.9326923,145.8111111,84.83333333,391.6220238,12.11666667
0,0.25,1.770833333,1.041666667,1.666666667,2.805555556,610.8060782,285.8259088,1.5,0.466666667,2.083333333,1.333333333,184.9939394,0.958333333,1.833333333,1.361111111,1.888888889,0,3.5
0,0,0.75,6.75,0,0,22,8,1,0.2,1,0,1.333333333,15,45.25,22.66666667,1,29.5,0.666666667
0,0.75,0.75,0,0,0,335.380779,271.0906135,0.333333333,0.2,0,0,83.56382979,0,0.5,1,0.333333333,0,1.333333333
0,0,0,0,0.333333333,0,1772.055491,1163.429404,0,0.2,0,0,541.3380076,0,0,0.083333333,0,0,0.333333333
0,0,0,0,0,0,572.9856394,391.8642187,0,0,0,0,118.4771812,0,0,0,0,0,0.666666667
0,0,0.5,0,0,0,958.5801306,499.6582818,0,0.2,0,0,270.6619924,0,0,0,0,0,0.333333333
0,0,0,0,0,0,143.8143606,93.38578132,0,0,0,0,45.18948543,0,0,0,0,0,0
0,0,0.25,0,0,0,154.219221,138.9093865,0,0,0,0,66.43617021,0,0,0,0,0,0
0,0,0.145833333,0.291666667,0,0.361111111,653.1374248,415.8029263,0.333333333,0.066666667,0.25,0,113.0492279,0.083333333,0.375,0.083333333,0.222222222,0,0.666666667
0,0,6,23,3,3.333333333,88.2,23.25,11.66666667,2.4,9.333333333,1.666666667,13.66666667,46,123.5,53,9.666666667,56,0.333333333
0,0.25,4.25,13.25,3,3,51.4,28.25,3.333333333,0.8,4.666666667,0,11,11.5,27.5,26,9,24.75,3.666666667
0,0.25,2,2.75,2.666666667,1.333333333,456.6,613.25,0.333333333,1.2,0.333333333,1,6.333333333,2,2,1.666666667,1,1.25,2.333333333
0,0.75,2.75,3.25,4,1,283,311.25,1,2.8,1.333333333,0,2.333333333,2.75,3.25,4,2,2.75,2.666666667
0,0.083333333,6.844524518,6.418725818,0.111111111,2.172839506,84.3766186,41.96229151,10.95342752,0.320588235,1.811529271,0,2.018087855,18.57095252,52.11285131,24.54283254,12.33915598,43.07652962,2.174171843
0,0.25,1.770833333,1.041666667,1.666666667,2.805555556,775.3466362,483.8959646,1.5,0.466666667,2.083333333,1.333333333,35.55555556,0.958333333,1.833333333,1.361111111,1.888888889,0,3.5
0,0,0.25,1.5,0.666666667,1.333333333,468,509.5,0,0.4,0.333333333,2,8,3.5,8,1.333333333,0.666666667,2,0.333333333
0,0,0.25,0.25,1,0.333333333,10.2,1,0.333333333,0,1.333333333,1.333333333,0,11.75,32.5,2.666666667,1,2.25,0
0,0.5,0.75,1.75,2.333333333,0.333333333,181.6,250.25,0.333333333,0.8,0,0,2.666666667,0,1.25,0.333333333,0.333333333,0.75,1.333333333
0,0.25,0.75,0.5,0.333333333,0,171.2,199.75,0.333333333,1.4,0,0,4.333333333,0.75,0.25,0.333333333,0,0.75,3
0,0,0.75,1,2,0.333333333,401.6,521.4825919,0,0.4,0,0,2.666666667,0.25,2,0,0,3,1.666666667
0,0.25,0.75,1.5,1.333333333,2.333333333,164,210.25,0,2.8,0,0,6.666666667,0.75,0.5,1.166666667,0.166666667,0.625,0.5
0,0,1.25,0.75,0.333333333,0,296.4,363.5,0.333333333,1.2,0,0,6.333333333,0.25,0.75,0.666666667,0,3,1.666666667
0,36.25,8.75,0,0,2.666666667,0,0,315.6666667,11.2,0,0,0,0,4,0.666666667,0,0,0
0,0,0,0,0,0,74.18518519,44.25,0,0.2,0,0,12,0,0,0,0,0,0.333333333
0,0,0,0,0,0,503.5643787,140.1516519,0,0,0,0,11.61111111,0,0,0.083333333,0,0,0
0,0,0,0,0,0,64.15714286,49.875,0,0,0,0,8,0,0,0,0,0,0
0,0,0.0625,0.125,0,0.694444444,55.70986079,134.4752004,0.333333333,0,0.25,0,10.40127714,0.25,0.208333333,0.194444444,0,0,0.333333333
0,0.125,0,0,0,0,638.9375818,601.0658179,0,0.4,0,0,0.666666667,0.25,0,0,0,0,0
0,0.25,0.5,0.5,0,0,1249.2,1020,0,0,0,0,0.666666667,0,0.25,0.666666667,0,0,1.333333333
0,0,0,0,0,0,102.6,97,0,0,0,0,0,0,0,0,0,0,0
0,0.166666667,0.083333333,0,0,0,660.5333333,420.4166667,0.111111111,0,0,0,0.111111111,0,0,0,0.111111111,0,0.111111111
0,0,0,0,0,0,181.8,84.75,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.333333333,0,136.4,86,0,0,0,0,0,0,0,0,0,0.5,0
0,0,0,0,0,0,290.4,226.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,216.3717949,189.7045455,0,0,0,0,0,0,0,0,0,0,0.166666667
0,0,0,0,0,0,98.37339348,116.1688664,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,223,140.25,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,201.5946429,222.9956395,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.333333333,0,132.371919,54.00134287,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333
0,0,0,0,0,0,63.4,49.5,0,0,0,0,0.333333333,0,0,0,0,0,0
0,0,0,0,0,0,235.2,203.5,0,0,0,0,0,0,0,0,0,0,0
0,0.125,0,0,0,0,99.84266212,60.65020699,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,79.2,69,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,88.42820513,105.2954545,0,0,0,0,0,0,0,0,0,0,0.166666667
0,0,0,0,0,0,174.6,102.9555213,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,71.02422556,51.46659613,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,84.78564627,71.96329632,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,115,80.04447865,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,167.462172,99.75,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,51.2197561,36.80951028,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,56.88109668,47.45,0,0,0,0,0,0,0,0,0,0,0
0,0.125,0,0,0,0,48.1,33.08333333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,71.4,53,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,77.34795455,55.75,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,57.9,56.875,0,0.1,0,0,0,0,0,0,0,0,0
0,11.25,1,0,0,0,0,0,0,0.2,0,0.333333333,0.666666667,0,0,35.78732106,2.333333333,0,5.911111111
0,435.9962624,467.3600823,217.5210066,248.4091107,120.3119755,359.2564095,152.3788035,269.0816092,541.8098913,300.7750388,172.0573824,414.3582165,253.5005342,577.7368527,3534.379229,252.6497396,238.545601,320.9074016
0,72.5,76.75,51.25,89.33333333,44.33333333,96.2,49.25,72.66666667,92.4,56.33333333,65.33333333,78,36.25,74.5,1292.666667,47.33333333,27.75,55.33333333
0,8.404545455,9.808671825,14.16192211,8.450156348,2.166666667,32.39142746,22.81042332,17.263079,10.62039003,13.88278867,2.666666667,3.888888889,19.90029855,123.255751,64.18177643,8.055555556,18.01153894,2.371031746
0,4.654166667,11.04583333,15.09166667,6.527777778,10.79444444,25.45,49.6125,12.82777778,8.37,16.91111111,22.15,15.80555556,10.80833333,22.125,74.57777778,22.22222222,15.875,3.644444444
0,1.5,3.25,11,3.666666667,5.333333333,37.8,14.5,12.66666667,4.2,3.333333333,3.666666667,7,21,36.75,38,5.333333333,34.5,3
0,7.75,16.25,4,0.666666667,9.333333333,10,3.25,20,15.6,4,2.666666667,18,7.75,16.5,15,10,1.5,14
0,28.25,8.5,12.5,22,1,14.8,7.25,22,16.2,4.666666667,2.333333333,6.666666667,8.5,17,19.66666667,2.666666667,2,5.333333333
0,1.858333333,3.425,0.925,2.25,4.966666667,7.75,5.3125,5.788888889,1.556666667,8.022222222,7.761111111,8.488888889,2.908333333,4.25,40.56666667,12.38888889,4.5,2.005555556
0,0.625,2,1.166666667,1.333333333,2.722222222,19,32.77083333,4.166666667,1.9,1.5,5.111111111,5.944444444,0.833333333,4.416666667,7.805555556,5.833333333,1.625,0.722222222
0,8.25,5.75,12.25,12.33333333,0.666666667,7.4,1.75,1.666666667,4,1.333333333,0,2.333333333,2.75,5.25,4,1.333333333,1.25,3.333333333
0,1.25,4,2,1.333333333,0.333333333,4.2,4,0.666666667,0.4,24.66666667,2.333333333,7.333333333,0.25,4,1,0.666666667,68.25,5.333333333
0,0.666666667,1.708333333,1.083333333,1.777777778,3.444444444,2.893686357,2.824908974,0.083333333,2.333333333,1.222222222,11.16666667,6.111111111,0.75,1.166666667,7.580808081,1.888888889,1.083333333,0.888888889
0,1,8.404347826,2.25,4,3,0.6,0,4,6.8,1.333333333,2.266666667,7.973333333,1.5,0.5,66.25044092,3,0,2.666666667
0,1,0.75,1,1.333333333,3.666666667,1.8,0.25,1.333333333,3.4,0,0.666666667,6.333333333,0.75,2,1.666666667,0,47.75,2.666666667
0,0.5,1.25,0.5,0.666666667,2,8.022407121,1.658333333,0,0.7,6.488939741,1,5.15569488,1.5,1.5,1.333333333,2,44.14008403,0.666666667
0,0.5,0.75,0,1.333333333,0.666666667,0,0,0.333333333,4.8,0,2,1.666666667,0.75,4.25,1.666666667,0,0.25,13.66666667
0,0,0,0,0.666666667,6.666666667,1.6,0.5,0.333333333,2.4,1.333333333,16.33333333,6,0.75,3,0,0.333333333,5.5,1
0,0.541666667,0.5,1.2,2.287878788,5.177777778,0.2,2.25,0.444444444,2.18961039,1.916666667,10.40458937,2.166666667,0.25,1.392857143,1.111111111,2.731481481,0.125,1.1
0,2.25,5.25,0,26.33333333,0,2.2,0,0,0,0,0,0,7.75,15.75,0.333333333,4.666666667,0.25,8
0,0.5,3.546135266,0.5,1,0.666666667,0.2,0,0,0.4,0,0,4,2.714285714,0.75,25.75096,0,0,1
0,0,0,0,0,0.333333333,33.77759288,17.09166667,0,0.1,13.84439359,3.333333333,13.84430512,0.25,0,0.666666667,0,38.60991597,0.666666667
0,1.25,0,0.5,1.666666667,0,0.4,4.75,0,20.6,0,0,0.666666667,1,24.25,1,0,0.25,0.666666667
0,0.25,0.25,0,0.666666667,0,3.2,1.75,0,0.2,0,0,17.77235772,0.25,0.25,2.666666667,0,0.625,0
0,0.5,0.5,0.25,1.666666667,0.333333333,0,0,0,0.6,0,1.666666667,1.666666667,0.25,3.5,0.333333333,0.333333333,56.75,1.333333333
0,0,0,0,0,0,2.3,50.46899571,0,0,0,0,11.11111111,0,0,0.083333333,0,0,0
0,0,0,0,0,0,47.6,18.75,0,0,0,0,10.66666667,0,0,0,0,0,0
0,0,0.299516908,0.5,0.333333333,0.333333333,0.2,0.25,1,0.4,0,0.4,1.026666667,0.285714286,0,24.33193242,0,0,0.666666667
0,0.125,0,0,0,0,47.9,90.1411315,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,25.80238095,61.11453749,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.8,0,0,0,0,0,71.66666667,0,0,0,0,0,0
0,0,0,0,0,0,50.4243936,30.03670368,0,0,0,0,2.666666667,0,0,0,0,0,0
0,0,0,0,0,0,58.6,16.75,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,42.97762254,12.85416667,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,742.2347156,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,486.6666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,40.09861772,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,171.6666667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.4,3.666666667,0,0,0,59.25,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,116.3333333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,28.33333333,0,0,0,0,0,0,0,0,0,0.666666667
0,0,0,0,0,0,0,0,0,0,0,0,37.33333333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,103.2882353,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,91.33333333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45.66666667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,48.33333333,0,0,0,0,0,0
0,0,0,0.25,0,0,0,0,0,0,0,0,37.66666667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24.66666667,0,0,0,0,0,0
0,0,0,0,0,0.666666667,0.8,0,0.666666667,0.2,0,0,0,0,0,64.33333333,0,0.5,0
0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.25,0,0,0,0,43.33333333,0,0.25,0,0,0,0
0,0,0,0,0,0,0,0,0,0,117.6666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,46.33333333,0,0,0,0,0,0
0,0,0,0,0,0,0.2,0,0,0,85,0,2.333333333,0,0,0,0,0,0
0,544.8490644,922.5285743,398.1820276,585.5862516,269.8775467,252.5770579,358.5419118,479.8641704,702.5107768,341.8440111,218.6666667,271.061671,257.5267374,543.2062169,708.5574713,463.5723999,242.3218682,257.8719397
0,75.34545455,191.430137,220.1638251,109.7794663,131.6049383,703.7152465,442.5649664,123.1943912,111.8256884,108.1006712,237,152.197656,285.3074552,767.9196607,760.5027202,304.9941774,560.2495253,68.54011387
0,18.25,31,32.5,56.66666667,27,36.2,22,25,80.8,26.33333333,152.3333333,128.3333333,15.5,55.75,67.66666667,46,20,9.333333333
0,7.904166667,17.87916667,114.3208333,59.22222222,25.48888889,452.0485714,332.9,57.05,41.92,19.52222222,90.73333333,49.72222222,161.3916667,382.1423077,531.4722222,81,337.8660714,11.7
0,76.91322482,95.33055595,92.91421551,98.66522739,115.3957441,207.6046689,132.7110954,130.8280154,106.7700685,66.91179539,80.69099178,99.61733194,72.09016603,144.2287865,687.4138277,82.38772541,90.54731764,72.64102118
0,67.5,107.5,87.75,96,110.6666667,66.4,46,69,133.8,63,84,88.66666667,73.25,123,169.3333333,76.66666667,73.75,36.66666667
0,59.25,105,72,110.6666667,109.6666667,49.4,60.25,78.33333333,127.4,133.3333333,110.6666667,105.6666667,67.5,118.75,77,185.3333333,24.75,69.66666667
0,16.75,4,26.5,5.666666667,5.666666667,4.8,4.75,3.666666667,26.2,3,2.333333333,7.333333333,10.25,24.25,6.666666667,4.333333333,0.75,11.66666667
0,11.875,11.125,22.875,16.16666667,33.83333333,6.7,12.25,10.33333333,47.4,11.66666667,14,26.5,12.5,10,10,11.66666667,2.625,7.166666667
0,47.5,62,41.75,72.29251701,163.893617,73.2,50.75,62,73.790625,162.9247312,139.6666667,79.82077922,34.17184265,54.97426471,63,194.4299859,43.725,30.61352657
0,5.541666667,6.208333333,10,14.85470085,5.777777778,70.5956797,37.94389132,21.92441763,15.81135531,4.333333333,11.16666667,52.69607843,5.692307692,14.39828431,31.68181818,14.16666667,14.14015152,15.24305556
0,17.98571429,40.12624968,23.66763566,28.88571429,24.17333333,10.775,11.5,29.77777778,47.55355441,22.22004357,41.62601626,28.61580087,21.85227273,33.58075803,17.89473684,26.19345238,8,59.38709677
0,34,50.5,40,33.66666667,47.66666667,13,14.75,27,76.6,30,57,37,14.75,26.25,20.33333333,62.66666667,15.5,21.66666667
0,10.5,20.25,35,20,10.66666667,8.2,7,22.66666667,43.2,11.66666667,6.333333333,11.33333333,20.25,10.25,15,9.666666667,2,45
0,16.5,13.5,17,41.66666667,15,4.2,8.25,12,21.2,9.333333333,12.33333333,11.33333333,4.75,6.5,12.33333333,21.66666667,4,59.33333333
0,21,19,26,74,36.66666667,16.6,12.75,7.666666667,47.2,22,30.33333333,44.66666667,13,27.75,31.66666667,22.33333333,5.5,17.66666667
0,30.2,81.61,61.19343354,67.14102564,71.66666667,20.2,15,50.96825397,92.57168142,21.29411765,79.66666667,70.54035088,23.25,23.68617021,41.33333333,55,13.5,33.92771084
0,30.75,68.75,57.74752475,62.66666667,81,19,16.5,38,51.4,18.66666667,65.66666667,44,22.75,12.5,27.33333333,69,15,21
0,15,29.25,24,27,16.66666667,9,6.75,21.66666667,21.2,15,23,32,10.25,10,13.33333333,17.66666667,9.5,56
